GO	description	category	D1_S02_1L-s_R03	D1_S02_2.5L-s_R01.1	D1_S02_2.5L-s_R01.3	D1_S02_10L-s_R02	D1_S02_10L-m_R01	D1_S02_10L-m_R02	D1_S20_30L-m_R123	D1_S023_10L-m_R01	D1_S023_10L-m_R02	D1_S320_10L-m_R01	D1_S320_10L-m_R02	D1_S320_10L-m_R03	D1_S20_120L-m_R01	D1_S20_100L-m_R02	D1_S023_60L-m_R01	D1_S023_100L-m_R02	D1_S023_60L-m_R03	D1_S320_60L-m_R01	D1_S320_100L-m_R02	D1_S320_60L-m_R03	D1_S20_496L-m_R00	D1_S20_100L-m_R02	D1_S20_100L-m_R03	D1_S023_100L-m_R01	D1_S023_100L-m_R03	D1_S320_100L-m_R03	D2_S20_100L-m_R11	D2_S023_1000L-m_R00	D1_S02_1L-s_R01	D1_S02_1L-s_R02	D1_S02_10L-s_R01	D1_S02_2.5L-s_R01.2	D1_S02_2.5L-s_R01.4	D1_S02_10L-s_R03	D1_S02_10L-m_R03	D1_S023_10L-m_R03	D1_S20_60L-m_R03	D1_S20_100L-m_R01	D1_S023_496L-m_R00	D1_S023_100L-m_R02	D1_S320_496L-m_R00	D1_S320_100L-m_R01	D1_S320_100L-m_R02	D2_S20_1000L-m_R00	D2_S023_100L-m_R11	D2_S320_1000L-m_R00	D2_S320_100L-m_R11	D1_S20_776L-m_R00	D1_S023_716L-m_R00	D1_S320_716L-m_R00
GO:0000012	single strand break repair	biological process	0	0	0	0	0	1	1	1	0	0	0	0	3	6	1	0	2	1	0	1	11	3	4	0	0	1	4	0	0	0	2	0	0	0	1	1	6	7	0	1	0	0	0	7	0	1	1	10	0	1
GO:0000015	phosphopyruvate hydratase complex	cellular component	224	185	163	213	114	181	3	370	190	30	19	5	90	42	344	393	349	191	90	132	71	8	71	285	343	191	14	244	323	369	376	395	338	332	517	268	2	35	429	482	145	154	131	9	485	131	174	77	559	296
GO:0000030	mannosyltransferase activity	molecular function	18	17	20	21	15	15	3	31	13	1	6	3	20	12	30	31	35	17	12	12	16	2	16	26	31	23	9	27	22	24	29	21	28	22	35	18	14	15	32	33	11	14	13	6	31	12	19	20	40	34
GO:0000034	adenine deaminase activity	molecular function	2	2	3	2	1	1	0	4	2	0	0	0	0	0	2	3	3	2	1	1	0	0	0	2	4	1	0	2	2	4	2	2	2	2	4	0	0	0	3	2	1	0	0	0	2	0	1	0	3	2
GO:0000041	transition metal ion transport	biological process	9	7	6	7	3	9	0	9	8	0	0	0	4	1	9	10	9	6	5	6	4	0	3	10	11	7	1	6	13	12	13	12	11	11	13	10	0	0	12	13	6	5	2	1	13	4	4	3	16	9
GO:0000042	protein targeting to Golgi	biological process	1	3	0	0	1	2	1	2	1	5	5	0	11	16	5	1	2	3	2	2	13	4	13	0	1	8	8	0	1	1	4	0	1	0	8	3	12	12	0	1	4	3	3	7	0	3	4	18	1	8
GO:0000045	autophagosome assembly	biological process	0	0	2	0	0	0	2	1	1	0	1	0	3	5	1	0	0	0	1	0	3	1	1	1	0	1	1	0	2	1	0	0	1	0	4	1	2	2	0	1	0	1	1	3	0	0	2	3	1	2
GO:0000049	tRNA binding	molecular function	808	668	631	714	445	598	13	1381	666	101	72	28	359	155	1266	1486	1269	634	384	468	249	19	278	1162	1240	741	40	928	1082	1333	1233	1388	1168	1110	1823	894	25	137	1559	1745	564	563	441	41	1775	479	575	271	2021	1046
GO:0000062	fatty-acyl-CoA binding	molecular function	6	7	2	4	7	7	4	13	6	8	5	0	12	20	18	10	13	11	5	5	15	0	12	7	15	12	8	13	8	13	12	7	9	2	31	9	8	11	9	9	7	2	4	9	12	13	9	13	17	21
GO:0000070	mitotic sister chromatid segregation	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000077	DNA damage checkpoint	biological process	2	0	1	0	3	1	5	4	2	3	4	0	11	13	3	0	1	0	1	0	19	4	11	0	1	1	8	0	1	4	2	0	0	1	9	2	10	13	0	0	1	0	0	11	1	1	4	16	2	2
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological process	1	3	3	2	1	3	0	5	4	6	3	0	6	6	5	2	8	3	3	2	7	1	1	1	2	6	3	3	1	2	1	2	3	1	9	4	3	1	1	5	2	3	2	2	3	2	5	6	8	4
GO:0000103	sulfate assimilation	biological process	81	79	72	76	41	71	3	138	75	14	7	0	30	13	141	148	129	71	36	55	27	3	27	108	126	81	5	95	110	114	128	124	113	105	170	95	5	15	144	158	55	56	46	5	170	48	50	34	179	96
GO:0000104	succinate dehydrogenase activity	molecular function	239	177	183	198	120	174	1	378	183	20	11	2	59	20	361	413	360	173	94	124	36	0	48	313	360	204	9	295	280	356	333	342	335	309	495	262	4	22	434	475	148	147	125	7	514	140	167	56	574	276
GO:0000105	histidine biosynthetic process	biological process	1843	1457	1378	1633	953	1309	16	3262	1372	194	117	35	704	263	2914	3396	2934	1344	815	938	501	22	526	2511	2986	1564	57	2208	2426	2927	2791	3025	2634	2440	4092	1961	8	228	3520	3829	1276	1228	960	63	4160	1031	1325	491	4490	2275
